codigo_da_postagem,nome_portal,texto_da_postagem,texto_do_comentario
1,@CNNBrasil,texto da postagem,"CNN Brasil


 min
SC grupo desviava dinheiro de doações destinadas a hospitais beneficentes
SC grupo desviava dinheiro de doações destinadas a hospitais beneficentes  CNN Brasil
De cnnbrasilcombr



 mil"
2,@CNNBrasil,texto da postagem,"CNN Brasil


 min
Polícia resgate criança de  anos andando sozinha em rua no Paraná
Polícia resgate criança de  anos andando sozinha em rua no Paraná  CNN Brasil
De cnnbrasilcombr


 mil"
3,@CNNBrasil,texto da postagem,"CNN Brasil


 h
Deputado do PSOL convoca audiência pública sobre Ovnis na Câmara
Deputado do PSOL convoca audiência pública sobre Ovnis na Câmara  CNN Brasil
De cnnbrasilcombr



 mil"
4,@CNNBrasil,texto da postagem,"CNN Brasil


 h
Fogo na Amazônia compromete qualidade do ar em outros países diz ONU
Fogo na Amazônia compromete qualidade do ar em outros países diz ONU  CNN Brasil
De cnnbrasilcombr



 mil"
5,@CNNBrasil,texto da postagem,"CNN Brasil


 h
Por 

  PT faz ofensiva jurídica contra Tarcísio assista 
  



 mil"
6,@CNNBrasil,texto da postagem,"CNN Brasil


 h
Imortalidade após transplante Saiba verdade sobre declaração de Xi e Putin
Imortalidade após transplante Saiba verdade sobre declaração de Xi e Putin  CNN Brasil
De cnnbrasilcombr

 mil"
