codigo_da_postagem,nome_portal,texto_da_postagem,texto_do_comentario
1,@CNNBrasil,texto da postagem,"CNN Brasil
@CNNBrasil
·
57 min
SC: grupo desviava dinheiro de doações destinadas a hospitais beneficentes
SC: grupo desviava dinheiro de doações destinadas a hospitais beneficentes | CNN Brasil
De cnnbrasil.com.br
1
6
14
3 mil"
2,@CNNBrasil,texto da postagem,"CNN Brasil
@CNNBrasil
·
59 min
Polícia resgate criança de 2 anos andando sozinha em rua no Paraná
Polícia resgate criança de 2 anos andando sozinha em rua no Paraná | CNN Brasil
De cnnbrasil.com.br
2
6
3 mil"
3,@CNNBrasil,texto da postagem,"CNN Brasil
@CNNBrasil
·
1 h
Deputado do PSOL convoca audiência pública sobre Ovnis na Câmara
Deputado do PSOL convoca audiência pública sobre Ovnis na Câmara | CNN Brasil
De cnnbrasil.com.br
17
5
20
5 mil"
4,@CNNBrasil,texto da postagem,"CNN Brasil
@CNNBrasil
·
1 h
Fogo na Amazônia compromete qualidade do ar em outros países, diz ONU
Fogo na Amazônia compromete qualidade do ar em outros países, diz ONU | CNN Brasil
De cnnbrasil.com.br
7
2
7
3 mil"
5,@CNNBrasil,texto da postagem,"CNN Brasil
@CNNBrasil
·
1 h
Por 
@PedroVenceslau3
 → PT faz ofensiva jurídica contra Tarcísio; assista #CNNArena
0:03 / 1:42
7
2
12
3 mil"
6,@CNNBrasil,texto da postagem,"CNN Brasil
@CNNBrasil
·
1 h
Imortalidade após transplante? Saiba verdade sobre declaração de Xi e Putin
Imortalidade após transplante? Saiba verdade sobre declaração de Xi e Putin | CNN Brasil
De cnnbrasil.com.br
5
3 mil"
